Chariots of Fire	"King's College Chapel, King's College, Cambridge University"	 Cambridge	 Cambridgeshire	 UK
Chariots of Fire	Liverpool Town Hall	 Liverpool	 Merseyside	 UK
Chariots of Fire	Town Hall	 Liverpool	 Merseyside	 UK
Chariots of Fire	York Station	 York	 North Yorkshire	 UK
Chariots of Fire	Ruskin Drive Sports Ground	 St.Helens	 Merseyside	 UK
Ordinary People	Lake Forest High School - 1285 N. McKinley Road	 Lake Forest	 Illinois	 USA
Ordinary People		Northbrook	 Illinois	 USA
Ordinary People	Walker Brothers Original Pancake House - 153 Green Bay Road	 Wilmette	 Illinois	 USA
Ordinary People		Chicago	 Illinois	 USA
Ordinary People		Fort Sheridan	 Illinois	 USA
Ordinary People		Highland Park	 Illinois	 USA
Ordinary People		Lake Bluff	 Illinois	 USA
Ordinary People		Lake Forest	 Illinois	 USA
Ordinary People	"Paramount Studios - 5555 Melrose Avenue,  Hollywood"	 Los Angeles	 California	 USA
Ordinary People	Apple Valley		 California	 USA
Kramer vs. Kramer	"Chrysler Building - 405 Lexington Avenue,  Manhattan"	 New York City	 New York	 USA
Kramer vs. Kramer	"Central Park,  Manhattan"	 New York City	 New York	 USA
